strain	virus	id	host	country	region	date
JX015480	RSV-A	ON1	Homo-sapiens	Netherlands	Europe	2007-12-10
KF826848	RSV-A	NA	Homo-sapiens	Australia	Oceania	2007-XX-XX
KC476743	RSV-A	NA2	Homo-sapiens	South-Africa	Africa	2009-XX-XX
JX131637	RSV-A	ON1	Homo-sapiens	Saudi-Arabia	Asia	2008-03-16
KJ627305	RSV-A	NA	Homo-sapiens	Peru	south_america	2007-03-17
KC297381	RSV-A	NA	Homo-sapiens	China	Asia	2007-XX-XX
KC297324	RSV-A	NA	Homo-sapiens	China	Asia	2011-XX-XX
KU950573	RSV-A	NA	Homo-sapiens	USA	north_america	2006-01-07
KU316131	RSV-A	NA	Homo-sapiens	USA	north_america	1994-XX-XX
JX069798	RSV-A	ON1	Homo-sapiens	USA	north_america	2001-02-20
KU316118	RSV-A	NA	Homo-sapiens	USA	north_america	1996-XX-XX
KP258737	RSV-A	NA	Homo-sapiens	USA	north_america	1984-XX-XX
KP258734	RSV-A	NA	Homo-sapiens	USA	north_america	1989-XX-XX
KU316167	RSV-A	NA	Homo-sapiens	USA	north_america	1985-XX-XX
KP258723	RSV-A	NA	Homo-sapiens	USA	north_america	1986-XX-XX
KP258733	RSV-A	NA	Homo-sapiens	USA	north_america	1984-XX-XX
KU316112	RSV-A	NA	Homo-sapiens	USA	north_america	1980-XX-XX
KP258744	RSV-A	NA	Homo-sapiens	USA	north_america	1995-XX-XX
KU316099	RSV-A	NA	Homo-sapiens	USA	north_america	1997-XX-XX
KU316119	RSV-A	NA	Homo-sapiens	USA	north_america	1989-XX-XX
KP258741	RSV-A	NA	Homo-sapiens	USA	north_america	1990-XX-XX
KP258730	RSV-A	NA	Homo-sapiens	USA	north_america	1987-XX-XX
KP258719	RSV-A	NA	Homo-sapiens	USA	north_america	1988-XX-XX
KU316146	RSV-A	NA	Homo-sapiens	USA	north_america	1983-XX-XX
KU316120	RSV-A	NA	Homo-sapiens	USA	north_america	1985-XX-XX
KJ723478	RSV-A	NA	Homo-sapiens	USA	north_america	1982-XX-XX
KU316103	RSV-A	NA	Homo-sapiens	USA	north_america	1983-XX-XX
KU316168	RSV-A	NA	Homo-sapiens	USA	north_america	1977-XX-XX
KU316150	RSV-A	NA	Homo-sapiens	USA	north_america	1978-XX-XX
